,kinetics_class,original_score,perturbated_score
174,kicking field goal,2.5277969e-10,2.1470494e-11
175,kicking soccer ball,2.0327144e-07,6.7271245e-08
176,kissing,3.9440535e-09,6.246933e-09
177,kitesurfing,2.9516306e-11,1.0413129e-08
178,knitting,7.110812e-12,1.8590654e-12
179,krumping,1.2309086e-11,1.6852963e-11
180,laughing,1.5551275e-07,1.6423387e-08
181,laying bricks,1.8814885e-11,2.0448835e-11
182,long jump,1.8911715e-10,1.4441923e-09
183,lunge,1.3674682e-09,6.9802844e-11
184,making a cake,7.345382e-12,1.0916238e-12
185,making a sandwich,1.8774307e-11,1.1019963e-11
186,making bed,1.836314e-10,1.9103594e-09
187,making jewelry,4.268251e-12,2.3790742e-12
188,making pizza,6.9376284e-12,8.192529e-12
189,making snowman,2.0708035e-10,3.839239e-09
190,making sushi,5.612487e-13,5.381804e-13
191,making tea,5.1649508e-11,1.0625464e-11
192,marching,6.128693e-10,8.213753e-10
193,massaging back,1.8122406e-09,5.258175e-10
194,massaging feet,4.557193e-11,4.359411e-11
195,massaging legs,5.506626e-11,4.2653596e-11
196,massaging person's head,4.2316967e-10,1.0488266e-10
197,milking cow,3.2151157e-09,7.664246e-09
198,mopping floor,1.5620046e-07,1.7985317e-07
199,motorcycling,1.5003269e-09,8.934824e-10
200,moving furniture,1.784981e-06,8.183741e-07
201,mowing lawn,0.9681083,0.0002508288
202,news anchoring,4.3978435e-10,1.0145422e-08
203,opening bottle,2.016382e-09,1.3522335e-10
204,opening present,3.9077275e-10,1.1028806e-09
205,paragliding,1.7601995e-09,1.0379924e-06
206,parasailing,2.2583591e-11,1.0154457e-09
207,parkour,6.5062956e-08,5.2840113e-07
208,passing American football (in game),5.0614624e-10,1.622615e-10
209,passing American football (not in game),5.7586243e-07,1.77326e-08
210,peeling apples,1.7598758e-11,2.8724806e-13
211,peeling potatoes,4.2479003e-11,8.272211e-13
212,petting animal (not cat),4.3897503e-09,6.403399e-09
213,petting cat,5.026906e-09,3.0909701e-09
214,picking fruit,8.682141e-08,1.7414479e-08
215,planting trees,5.375481e-09,4.8341825e-10
216,plastering,2.3867874e-10,6.8093886e-10
217,playing accordion,2.3885774e-10,5.2140105e-11
218,playing badminton,1.2681828e-08,4.040725e-08
219,playing bagpipes,2.7213929e-09,5.2464575e-09
