,imagenet_class,original_score,perturbated_score
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",6.3886763e-09,1.6732464e-07
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",5.6199962e-08,2.9764455e-05
149,"dugong, Dugong dugon",7.09346e-10,6.032175e-09
150,sea lion,3.523492e-07,3.3624613e-07
151,Chihuahua,1.277457e-06,3.4153454e-06
152,Japanese spaniel,2.071787e-05,3.9108112e-05
153,"Maltese dog, Maltese terrier, Maltese",1.6440875e-07,3.7292546e-06
154,"Pekinese, Pekingese, Peke",1.5848404e-06,5.004862e-07
155,Shih-Tzu,6.345762e-06,6.1459366e-07
156,Blenheim spaniel,2.8573348e-07,1.0447847e-07
157,papillon,4.9034797e-06,0.00012913084
158,toy terrier,4.3876003e-07,8.735567e-06
159,Rhodesian ridgeback,1.6523679e-09,2.3468703e-09
160,"Afghan hound, Afghan",6.712016e-08,5.0335046e-07
161,"basset, basset hound",7.445456e-08,5.7355166e-08
162,beagle,2.974441e-07,2.337373e-07
163,"bloodhound, sleuthhound",4.2349013e-09,1.7477455e-09
164,bluetick,2.8612844e-08,4.6946138e-08
165,black-and-tan coonhound,1.2006922e-09,6.8310357e-09
166,"Walker hound, Walker foxhound",5.8445147e-09,1.468435e-07
167,English foxhound,1.0953303e-08,9.287688e-08
168,redbone,1.8179792e-09,7.850916e-10
169,"borzoi, Russian wolfhound",1.099012e-07,1.963948e-06
170,Irish wolfhound,1.8553294e-08,1.01794555e-08
171,Italian greyhound,1.1054462e-07,4.4573636e-07
172,whippet,5.137129e-07,7.661861e-07
173,"Ibizan hound, Ibizan Podenco",2.2503373e-08,4.1962838e-07
174,"Norwegian elkhound, elkhound",1.3859961e-06,1.4043718e-07
175,"otterhound, otter hound",9.971271e-09,7.528357e-09
176,"Saluki, gazelle hound",3.9317424e-08,1.374743e-07
177,"Scottish deerhound, deerhound",5.7715455e-09,9.274176e-09
178,Weimaraner,5.24811e-09,1.1783777e-09
179,"Staffordshire bullterrier, Staffordshire bull terrier",9.101082e-08,5.8081522e-08
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",8.722702e-08,2.4563906e-07
181,Bedlington terrier,7.3514705e-09,2.1865109e-08
182,Border terrier,2.4468168e-08,8.5176936e-08
183,Kerry blue terrier,4.9552888e-08,1.0630463e-06
184,Irish terrier,1.5236182e-09,1.8027615e-08
185,Norfolk terrier,6.1803455e-08,2.6762983e-08
186,Norwich terrier,9.64339e-08,1.6135527e-07
187,Yorkshire terrier,4.688691e-07,6.3904544e-08
