,kinetics_class,original_score,perturbated_score
177,kitesurfing,8.203708e-09,8.1127665e-09
178,knitting,2.9480491e-08,2.35026e-10
179,krumping,6.5180764e-05,0.0039494084
180,laughing,1.2297252e-05,3.1325044e-06
181,laying bricks,2.7011596e-10,4.526671e-09
182,long jump,3.2457565e-06,1.7055049e-07
183,lunge,0.00052926707,1.8298375e-05
184,making a cake,7.951296e-08,1.8886329e-08
185,making a sandwich,1.4049523e-06,6.708598e-07
186,making bed,6.3095545e-06,1.10685e-06
187,making jewelry,3.301079e-08,2.8614775e-09
188,making pizza,7.8612425e-07,3.665988e-07
189,making snowman,1.3317738e-06,1.1960857e-05
190,making sushi,1.8396791e-09,2.3597075e-09
191,making tea,9.246251e-07,7.441436e-07
192,marching,1.6489922e-06,6.067323e-07
193,massaging back,5.5017854e-06,5.762857e-07
194,massaging feet,5.495574e-07,9.841219e-08
195,massaging legs,8.226589e-08,9.325581e-09
196,massaging person's head,2.2495349e-06,1.2834555e-06
197,milking cow,2.966045e-07,1.3531064e-08
198,mopping floor,1.181827e-05,1.6385227e-06
199,motorcycling,1.8094923e-06,3.1574434e-06
200,moving furniture,6.5310815e-05,2.826756e-06
201,mowing lawn,7.9315475e-07,1.1637677e-07
202,news anchoring,3.1451748e-08,1.1161159e-07
203,opening bottle,1.8463786e-06,3.9578086e-07
204,opening present,5.726844e-07,1.00449334e-07
205,paragliding,6.9122313e-10,7.527246e-10
206,parasailing,1.8406805e-08,1.5768468e-09
207,parkour,0.0003055513,0.0020957976
208,passing American football (in game),1.5660531e-07,1.0321947e-08
209,passing American football (not in game),0.0026142057,1.37213265e-05
210,peeling apples,3.3473382e-06,2.078847e-07
211,peeling potatoes,1.3217691e-06,2.3943678e-09
212,petting animal (not cat),6.155367e-07,1.0314541e-09
213,petting cat,4.340449e-06,3.3546666e-08
214,picking fruit,7.4828375e-09,7.200793e-10
215,planting trees,1.215567e-08,7.787755e-10
216,plastering,6.244067e-08,5.9994996e-08
217,playing accordion,8.822371e-07,5.982508e-08
218,playing badminton,1.989157e-06,8.9869246e-08
219,playing bagpipes,4.928592e-07,2.401155e-07
220,playing basketball,0.0004042712,9.8709315e-06
221,playing bass guitar,1.07356e-06,2.6269643e-07
222,playing cards,1.4994605e-07,1.6000953e-07
223,playing cello,4.5964902e-07,8.506816e-08
224,playing chess,8.194189e-06,1.0379298e-06
225,playing clarinet,2.6182548e-07,1.34771545e-08
226,playing controller,5.0226976e-08,2.256765e-07
227,playing cricket,1.5790685e-06,4.9525147e-07
228,playing cymbals,3.2195578e-06,3.908559e-07
229,playing didgeridoo,1.3239736e-05,3.7768012e-07
230,playing drums,8.3371987e-07,9.135747e-08
231,playing flute,5.1781235e-08,2.1481774e-09
232,playing guitar,5.410071e-06,7.3937684e-08
233,playing harmonica,3.7302461e-06,4.2950094e-07
234,playing harp,1.3567164e-06,5.4024984e-08
235,playing ice hockey,3.0886422e-06,1.3598774e-06
236,playing keyboard,6.390995e-08,6.3048193e-09
