,kinetics_class,original_score,perturbated_score
249,playing ukulele,6.4208217e-10,9.319343e-07
250,playing violin,7.535876e-11,8.285452e-07
251,playing volleyball,4.5180346e-10,6.13957e-07
252,playing xylophone,4.4685924e-10,9.010673e-06
253,pole vault,4.6697393e-09,2.8205806e-05
254,presenting weather forecast,3.4196107e-12,4.234548e-09
255,pull ups,2.5849363e-06,0.005749906
256,pumping fist,6.3338615e-07,0.00010731993
257,pumping gas,4.0293306e-09,1.254681e-05
258,punching bag,1.3960586e-08,3.0277342e-06
259,punching person (boxing),1.0465991e-08,8.531069e-06
260,push up,3.5794866e-08,0.0019387768
261,pushing car,5.1671705e-11,6.8494336e-07
262,pushing cart,6.913584e-10,2.726375e-05
263,pushing wheelchair,2.5563571e-09,0.00019455937
264,reading book,1.786711e-11,5.8944952e-08
265,reading newspaper,1.796187e-10,2.5311467e-08
266,recording music,1.1545258e-06,0.0022852956
267,riding a bike,6.779362e-09,3.5212513e-06
268,riding camel,2.0147865e-10,4.43711e-08
269,riding elephant,3.9164345e-11,9.536096e-09
270,riding mechanical bull,3.2169267e-09,2.4399326e-06
271,riding mountain bike,6.76388e-08,0.00015009183
272,riding mule,4.7499604e-12,9.1835695e-09
273,riding or walking with horse,9.4034025e-09,1.4602734e-06
274,riding scooter,2.041949e-10,1.8410921e-06
275,riding unicycle,6.2637295e-09,8.645517e-05
276,ripping paper,9.86931e-10,6.108858e-06
277,robot dancing,1.00501836e-07,0.00037527777
278,rock climbing,1.546327e-09,1.475739e-06
279,rock scissors paper,7.533096e-09,1.4978968e-06
280,roller skating,1.1181404e-10,4.5979223e-07
281,running on treadmill,2.6081258e-08,2.68447e-05
282,sailing,4.42176e-09,1.6389996e-06
283,salsa dancing,5.9308974e-10,6.491357e-08
284,sanding floor,1.524519e-08,4.596263e-06
285,scrambling eggs,1.568574e-08,1.3911467e-06
286,scuba diving,7.67544e-11,5.26265e-08
287,setting table,1.504383e-08,1.2914371e-05
288,shaking hands,1.1350367e-09,1.9027274e-06
289,shaking head,4.003713e-09,2.8106993e-05
290,sharpening knives,1.5241917e-10,1.2723316e-06
291,sharpening pencil,7.493004e-08,5.2028217e-06
292,shaving head,1.1028729e-07,5.0405265e-06
293,shaving legs,2.6091907e-08,5.550327e-07
294,shearing sheep,1.3101965e-10,1.1687877e-05
295,shining shoes,4.8019754e-08,5.5593996e-06
296,shooting basketball,2.1382899e-08,2.34545e-05
297,shooting goal (soccer),3.4600756e-10,1.4418424e-06
298,shot put,9.956999e-11,1.8999785e-06
299,shoveling snow,8.5540026e-11,0.00013066908
300,shredding paper,1.6724854e-09,3.1870431e-06
301,shuffling cards,2.5314162e-10,1.2288997e-06
302,side kick,7.524193e-09,1.1331271e-05
303,sign language interpreting,8.770955e-09,2.4383276e-06
304,singing,7.96189e-08,3.3076147e-05
305,situp,1.2118968e-08,2.6297048e-05
306,skateboarding,2.6093748e-08,0.00014271143
