,kinetics_class,original_score,perturbated_score
173,jumpstyle dancing,2.7218807e-11,7.480944e-11
174,kicking field goal,8.0392065e-12,3.0832614e-10
175,kicking soccer ball,2.0676214e-09,2.6735801e-08
176,kissing,3.051957e-11,6.668778e-09
177,kitesurfing,3.2934477e-09,6.1129714e-07
178,knitting,1.89158e-11,2.3889804e-10
179,krumping,2.5631003e-13,4.765026e-12
180,laughing,2.9817574e-12,2.3484519e-09
181,laying bricks,7.883459e-12,1.877324e-12
182,long jump,2.2019296e-12,1.3393779e-11
183,lunge,6.006566e-12,1.0429937e-10
184,making a cake,3.5082248e-13,1.502426e-11
185,making a sandwich,7.5104446e-13,1.8939445e-11
186,making bed,1.1830395e-10,5.3400564e-09
187,making jewelry,2.900775e-13,2.3211778e-11
188,making pizza,3.7825805e-13,2.9246963e-10
189,making snowman,8.103306e-13,5.339888e-11
190,making sushi,2.0187559e-15,4.0585618e-11
191,making tea,3.8689302e-13,3.193378e-10
192,marching,7.368482e-13,1.1814418e-12
193,massaging back,5.7564436e-11,2.1250099e-10
194,massaging feet,7.8299155e-12,1.390708e-10
195,massaging legs,1.0660038e-10,1.1985611e-10
196,massaging person's head,2.4206368e-11,2.51648e-10
197,milking cow,2.773681e-11,5.1398368e-11
198,mopping floor,1.279622e-10,1.7190985e-07
199,motorcycling,1.3581209e-11,1.13262235e-08
200,moving furniture,3.1051075e-11,2.2300475e-10
201,mowing lawn,8.375037e-10,2.8318878e-09
202,news anchoring,4.2496917e-09,1.2511473e-08
203,opening bottle,6.820561e-12,2.9414682e-10
204,opening present,3.7111048e-12,9.955581e-11
205,paragliding,4.93897e-09,2.9641385e-09
206,parasailing,1.845651e-08,4.1190997e-09
207,parkour,1.5901851e-09,1.9313702e-10
208,passing American football (in game),4.36622e-14,1.3604381e-12
209,passing American football (not in game),2.1397626e-09,1.1260282e-09
210,peeling apples,2.1111105e-12,5.2505394e-10
211,peeling potatoes,1.9542501e-12,1.1255473e-09
212,petting animal (not cat),4.3789438e-08,1.5318805e-07
213,petting cat,2.7261843e-10,3.6299465e-08
214,picking fruit,9.27897e-10,5.591908e-11
215,planting trees,6.2626952e-12,6.8439664e-12
216,plastering,1.0623449e-09,1.1485777e-11
217,playing accordion,5.5661686e-14,5.725671e-12
218,playing badminton,1.3864702e-10,2.3714636e-08
219,playing bagpipes,5.448287e-13,7.547435e-10
220,playing basketball,1.0451718e-11,1.2816224e-10
221,playing bass guitar,6.324284e-13,1.3438124e-11
222,playing cards,3.655593e-11,3.6997866e-10
223,playing cello,7.012492e-13,1.422043e-10
224,playing chess,2.0180576e-13,2.0290489e-10
225,playing clarinet,1.5088023e-13,1.3945381e-10
226,playing controller,6.5143225e-12,8.994585e-10
227,playing cricket,3.3892594e-10,2.798077e-10
228,playing cymbals,1.5965312e-12,9.229288e-13
229,playing didgeridoo,9.539454e-13,2.8551753e-10
230,playing drums,4.036153e-14,8.584141e-12
231,playing flute,9.559494e-12,1.6027908e-10
232,playing guitar,5.614562e-12,5.158195e-10
233,playing harmonica,1.6933153e-12,1.67904e-11
234,playing harp,4.486559e-12,1.393262e-10
235,playing ice hockey,1.3298979e-11,2.4566718e-10
236,playing keyboard,1.5078278e-12,3.2570623e-11
237,playing kickball,9.157714e-12,4.8594995e-12
238,playing monopoly,3.898577e-12,2.0970226e-10
239,playing organ,8.348349e-15,5.1504825e-12
240,playing paintball,5.644636e-09,1.1418534e-09
241,playing piano,3.6370408e-13,7.4539964e-11
242,playing poker,2.8574427e-13,1.7475263e-09
243,playing recorder,3.757816e-12,6.807588e-09
244,playing saxophone,6.239276e-13,8.2614715e-10
245,playing squash or racquetball,4.9164245e-12,2.862482e-10
246,playing tennis,1.9983667e-12,6.5341465e-12
247,playing trombone,1.1285578e-11,9.1022204e-11
