,imagenet_class,original_score,perturbated_score
183,Kerry blue terrier,4.647243e-07,1.4584998e-07
184,Irish terrier,4.658381e-05,4.0866716e-08
185,Norfolk terrier,1.2193824e-05,1.6694058e-07
186,Norwich terrier,5.970013e-07,1.382521e-08
187,Yorkshire terrier,2.1733829e-08,1.00321795e-08
188,wire-haired fox terrier,1.2096548e-06,1.0187837e-07
189,Lakeland terrier,3.1774607e-07,1.408359e-08
190,"Sealyham terrier, Sealyham",5.3108273e-05,1.1334845e-06
191,"Airedale, Airedale terrier",4.857304e-07,1.4188554e-08
192,"cairn, cairn terrier",1.334555e-06,6.969041e-08
193,Australian terrier,7.479138e-07,1.2295992e-07
194,"Dandie Dinmont, Dandie Dinmont terrier",3.3664355e-06,3.8607737e-07
195,"Boston bull, Boston terrier",4.4100875e-07,7.82427e-07
196,miniature schnauzer,2.5820134e-07,9.85971e-08
197,giant schnauzer,2.8334987e-06,4.4508468e-08
198,standard schnauzer,3.5919842e-07,5.917358e-08
199,"Scotch terrier, Scottish terrier, Scottie",4.6709926e-07,1.9731383e-08
200,"Tibetan terrier, chrysanthemum dog",0.00017065083,4.1998885e-07
201,"silky terrier, Sydney silky",2.5627815e-08,1.3687906e-08
202,soft-coated wheaten terrier,4.9155733e-05,4.7797295e-07
203,West Highland white terrier,1.0887445e-05,3.6660408e-06
204,"Lhasa, Lhasa apso",9.903398e-06,1.2189925e-06
205,flat-coated retriever,0.00011152145,1.0656706e-06
206,curly-coated retriever,3.0249708e-05,2.6803923e-07
207,golden retriever,0.023604434,2.4296257e-06
208,Labrador retriever,0.003112481,6.6491007e-06
209,Chesapeake Bay retriever,4.8245725e-05,4.353053e-08
210,German short-haired pointer,2.4284634e-07,6.346062e-08
211,"vizsla, Hungarian pointer",9.3578876e-07,1.9877406e-09
212,English setter,0.00069341954,3.874525e-05
213,"Irish setter, red setter",1.8563389e-06,1.276391e-08
214,Gordon setter,3.556182e-05,7.928894e-08
215,Brittany spaniel,6.2967934e-05,4.216443e-07
216,"clumber, clumber spaniel",0.00045557084,1.0082631e-06
217,"English springer, English springer spaniel",1.11420395e-05,4.629115e-06
218,Welsh springer spaniel,1.2415408e-06,2.66075e-08
219,"cocker spaniel, English cocker spaniel, cocker",1.5902668e-05,1.6909789e-06
220,Sussex spaniel,1.2526616e-05,1.889127e-08
221,Irish water spaniel,2.0881406e-07,8.153273e-09
222,kuvasz,0.8234252,0.00033763263
223,schipperke,1.5035156e-06,3.6436735e-08
224,groenendael,4.568861e-06,4.065556e-08
225,malinois,5.262838e-07,3.2702385e-08
226,briard,4.7602202e-06,1.0216578e-07
227,kelpie,7.605685e-06,1.1025074e-07
228,komondor,5.5243227e-06,1.174034e-05
229,"Old English sheepdog, bobtail",0.0015878665,6.4103355e-05
230,"Shetland sheepdog, Shetland sheep dog, Shetland",5.21786e-07,9.241959e-08
231,collie,0.0002787817,1.6906708e-06
232,Border collie,0.0006407147,2.0824156e-05
233,"Bouvier des Flandres, Bouviers des Flandres",1.3625597e-06,8.760259e-09
234,Rottweiler,3.4535458e-06,1.687425e-08
235,"German shepherd, German shepherd dog, German police dog, alsatian",5.786573e-05,4.3913804e-08
236,"Doberman, Doberman pinscher",1.9024152e-06,1.8742114e-08
237,miniature pinscher,6.4676007e-09,1.6568654e-08
238,Greater Swiss Mountain dog,5.4012355e-05,2.0924867e-07
239,Bernese mountain dog,2.8384145e-05,3.853018e-08
240,Appenzeller,1.6429442e-05,4.519635e-08
241,EntleBucher,7.7651e-06,5.044355e-08
242,boxer,7.23796e-06,6.1046046e-07
243,bull mastiff,6.737114e-06,1.0889211e-07
244,Tibetan mastiff,7.65434e-05,2.4392673e-08
245,French bulldog,6.183614e-08,8.641095e-08
246,Great Dane,1.5896072e-05,1.2317719e-05
247,"Saint Bernard, St Bernard",0.00014000214,5.466322e-07
248,"Eskimo dog, husky",6.7423876e-05,1.6450241e-06
249,"malamute, malemute, Alaskan malamute",1.3577402e-05,1.2091025e-06
250,Siberian husky,6.755753e-06,2.8636616e-06
251,"dalmatian, coach dog, carriage dog",0.00024007974,0.00026259598
252,"affenpinscher, monkey pinscher, monkey dog",5.0239933e-08,1.4743374e-09
253,basenji,3.2673123e-07,1.5848958e-08
254,"pug, pug-dog",2.0249831e-06,7.117064e-07
255,Leonberg,0.00013019366,6.5194186e-08
256,"Newfoundland, Newfoundland dog",0.00035748826,3.8461476e-07
257,Great Pyrenees,0.14124137,3.3575598e-05
258,"Samoyed, Samoyede",0.00028367512,5.6358326e-06
259,Pomeranian,3.2090037e-07,1.3647505e-07
260,"chow, chow chow",5.4373995e-06,1.880467e-08
261,keeshond,1.5706846e-07,2.035194e-08
262,Brabancon griffon,1.949426e-07,2.3587678e-09
263,"Pembroke, Pembroke Welsh corgi",3.6003627e-07,6.138458e-09
264,"Cardigan, Cardigan Welsh corgi",4.0567024e-06,3.4774747e-08
265,toy poodle,1.7641275e-06,6.6932917e-06
266,miniature poodle,3.1007203e-06,1.6048893e-06
267,standard poodle,4.4495875e-05,1.0068022e-05
268,Mexican hairless,1.0798003e-08,3.3291727e-07
269,"timber wolf, grey wolf, gray wolf, Canis lupus",4.9970295e-06,5.299186e-07
270,"white wolf, Arctic wolf, Canis lupus tundrarum",0.00016000844,1.8137016e-05
271,"red wolf, maned wolf, Canis rufus, Canis niger",2.2508408e-08,6.8434497e-10
272,"coyote, prairie wolf, brush wolf, Canis latrans",1.4985334e-07,4.497447e-09
273,"dingo, warrigal, warragal, Canis dingo",3.9989272e-06,2.6618363e-08
274,"dhole, Cuon alpinus",2.500103e-08,1.1650803e-10
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",1.7568762e-08,2.0748299e-10
276,"hyena, hyaena",1.147109e-08,1.3543308e-08
277,"red fox, Vulpes vulpes",3.75055e-09,7.774415e-10
278,"kit fox, Vulpes macrotis",1.2430412e-09,2.4813382e-10
279,"Arctic fox, white fox, Alopex lagopus",3.5019982e-06,2.216596e-06
280,"grey fox, gray fox, Urocyon cinereoargenteus",3.9464227e-09,2.1901339e-09
281,"tabby, tabby cat",4.0135197e-09,3.129108e-08
282,tiger cat,1.1716339e-08,8.054094e-08
283,Persian cat,2.8868309e-08,1.4914762e-07
284,"Siamese cat, Siamese",2.4353177e-08,7.139561e-08
285,Egyptian cat,1.6195076e-08,7.5777945e-07
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1.9204038e-09,1.7691612e-09
287,"lynx, catamount",4.05177e-09,1.2341251e-08
288,"leopard, Panthera pardus",1.3176797e-09,3.6370618e-09
289,"snow leopard, ounce, Panthera uncia",9.793514e-09,4.088418e-08
290,"jaguar, panther, Panthera onca, Felis onca",4.8814983e-09,3.3739553e-09
291,"lion, king of beasts, Panthera leo",3.5086977e-08,1.1022834e-09
292,"tiger, Panthera tigris",6.444749e-08,3.4230844e-08
293,"cheetah, chetah, Acinonyx jubatus",4.7141775e-09,2.1332353e-08
294,"brown bear, bruin, Ursus arctos",4.42761e-07,6.2337935e-09
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",7.317968e-09,4.2783413e-10
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.00051595474,0.00019151437
297,"sloth bear, Melursus ursinus, Ursus ursinus",7.592366e-08,3.9497426e-08
298,mongoose,8.3776985e-09,8.157431e-08
299,"meerkat, mierkat",4.6582272e-08,4.5625896e-07
300,tiger beetle,3.2672828e-10,1.2951627e-10
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",1.8559353e-08,1.5781781e-08
302,"ground beetle, carabid beetle",1.3897602e-09,4.2764507e-09
303,"long-horned beetle, longicorn, longicorn beetle",2.96487e-09,4.7491838e-08
304,"leaf beetle, chrysomelid",6.635021e-09,2.1413669e-09
305,dung beetle,1.8046068e-09,1.4300102e-09
306,rhinoceros beetle,6.4525065e-09,2.2782357e-08
307,weevil,1.10617275e-08,7.29912e-08
308,fly,8.892938e-10,4.667239e-09
309,bee,9.937589e-10,1.2580023e-09
310,"ant, emmet, pismire",3.1988762e-08,1.5605236e-08
311,"grasshopper, hopper",1.5854164e-09,1.3613972e-10
312,cricket,1.1599817e-09,2.8150784e-10
313,"walking stick, walkingstick, stick insect",2.4814977e-09,4.931277e-10
314,"cockroach, roach",4.715104e-09,7.190913e-10
315,"mantis, mantid",2.6859754e-09,1.0636951e-09
316,"cicada, cicala",1.6577162e-09,4.556662e-09
317,leafhopper,1.5765846e-08,5.7792655e-09
318,"lacewing, lacewing fly",7.896022e-10,2.5391995e-09
319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",1.2042454e-09,1.9736163e-08
320,damselfly,7.454361e-10,9.1246644e-10
321,admiral,1.6120056e-09,1.6678471e-10
322,"ringlet, ringlet butterfly",1.480337e-10,4.4787933e-09
323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",2.0294653e-09,2.2032845e-10
324,cabbage butterfly,1.6670858e-09,4.1577945e-08
325,"sulphur butterfly, sulfur butterfly",1.6898668e-09,7.501751e-10
326,"lycaenid, lycaenid butterfly",5.123178e-09,9.751795e-08
327,"starfish, sea star",8.019564e-08,1.5393923e-08
328,sea urchin,2.8696313e-08,1.9712831e-09
329,"sea cucumber, holothurian",5.4179186e-09,2.2671678e-09
330,"wood rabbit, cottontail, cottontail rabbit",1.4536781e-09,8.790537e-09
331,hare,3.4724398e-08,1.5759491e-08
332,"Angora, Angora rabbit",8.440174e-08,4.814411e-07
333,hamster,5.101384e-09,3.127932e-08
334,"porcupine, hedgehog",2.292372e-09,1.6164057e-07
335,"fox squirrel, eastern fox squirrel, Sciurus niger",1.7486235e-10,8.243561e-09
336,marmot,1.0089083e-08,7.197445e-10
337,beaver,4.4242142e-08,1.6188153e-07
338,"guinea pig, Cavia cobaya",3.7556396e-07,7.831492e-06
339,sorrel,1.1863761e-09,4.601596e-10
340,zebra,3.7714605e-09,7.778744e-07
341,"hog, pig, grunter, squealer, Sus scrofa",3.4496782e-08,1.6300428e-08
342,"wild boar, boar, Sus scrofa",3.1749008e-09,2.0305284e-09
343,warthog,1.1361666e-09,1.305586e-08
344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",2.9347566e-10,8.5932905e-10
345,ox,3.2730662e-07,6.116807e-07
346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",1.5002156e-08,8.074918e-09
347,bison,1.0700005e-08,2.7895883e-10
348,"ram, tup",1.6055794e-06,6.821229e-07
349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",4.2960173e-09,2.6232123e-09
350,"ibex, Capra ibex",1.0911502e-08,4.691934e-10
351,hartebeest,1.055766e-10,2.3809591e-11
352,"impala, Aepyceros melampus",2.58523e-10,3.878053e-10
353,gazelle,4.8509413e-10,2.1339097e-09
354,"Arabian camel, dromedary, Camelus dromedarius",2.8566167e-09,1.759248e-09
355,llama,7.7411113e-07,2.34919e-06
356,weasel,8.938812e-08,1.6225797e-06
357,mink,2.6858794e-08,5.367845e-08
358,"polecat, fitch, foulmart, foumart, Mustela putorius",7.550986e-09,1.930813e-07
359,"black-footed ferret, ferret, Mustela nigripes",2.4108235e-08,3.2216192e-07
360,otter,1.2415306e-07,4.5813556e-07
361,"skunk, polecat, wood pussy",1.1847261e-08,6.3305487e-07
362,badger,1.0842127e-08,4.854714e-06
363,armadillo,1.1859123e-09,1.3497224e-08
364,"three-toed sloth, ai, Bradypus tridactylus",6.0006855e-08,1.6544891e-06
365,"orangutan, orang, orangutang, Pongo pygmaeus",4.563389e-09,3.129842e-08
366,"gorilla, Gorilla gorilla",1.4994232e-08,4.3050804e-08
367,"chimpanzee, chimp, Pan troglodytes",1.6943087e-08,3.221799e-08
368,"gibbon, Hylobates lar",4.8876313e-08,1.1745894e-07
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",5.43902e-09,7.1257493e-09
370,"guenon, guenon monkey",2.7109115e-09,1.2708664e-07
371,"patas, hussar monkey, Erythrocebus patas",3.4383125e-09,1.13383045e-08
372,baboon,3.5029586e-09,7.219047e-09
373,macaque,2.7478588e-08,8.577095e-10
374,langur,2.431025e-08,5.4163674e-08
375,"colobus, colobus monkey",5.0424998e-09,2.901832e-07
376,"proboscis monkey, Nasalis larvatus",1.6288996e-09,9.358513e-09
377,marmoset,2.9320624e-08,6.697947e-08
378,"capuchin, ringtail, Cebus capucinus",8.519648e-09,4.892979e-09
379,"howler monkey, howler",9.9971125e-08,5.838332e-08
380,"titi, titi monkey",2.7302216e-08,4.0363652e-08
