,imagenet_class,original_score,perturbated_score
160,"Afghan hound, Afghan",1.2228064e-08,1.3169174e-05
161,"basset, basset hound",2.8254502e-07,4.5736815e-05
162,beagle,3.0354126e-08,1.1076028e-05
163,"bloodhound, sleuthhound",1.7430242e-08,5.054275e-06
164,bluetick,5.1962015e-08,1.6583555e-05
165,black-and-tan coonhound,6.50148e-08,2.8125523e-05
166,"Walker hound, Walker foxhound",1.0651764e-08,2.4740348e-06
167,English foxhound,3.9897436e-09,4.5035114e-07
168,redbone,9.095037e-08,8.845532e-06
169,"borzoi, Russian wolfhound",4.4848427e-08,6.3007856e-06
170,Irish wolfhound,5.1986596e-08,1.3345087e-05
171,Italian greyhound,1.2763523e-07,2.6381775e-05
172,whippet,1.1217438e-07,2.2566519e-05
173,"Ibizan hound, Ibizan Podenco",4.256291e-08,2.5807692e-06
174,"Norwegian elkhound, elkhound",1.0907775e-08,1.6652224e-05
175,"otterhound, otter hound",7.3454602e-09,1.4838894e-06
176,"Saluki, gazelle hound",7.245307e-08,2.0791433e-05
177,"Scottish deerhound, deerhound",2.6552815e-08,6.2982e-05
178,Weimaraner,1.967361e-07,3.142579e-05
179,"Staffordshire bullterrier, Staffordshire bull terrier",7.349178e-08,1.7190116e-05
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",3.154867e-08,9.652994e-06
181,Bedlington terrier,1.72736e-08,8.614404e-06
182,Border terrier,1.672717e-07,4.83389e-05
183,Kerry blue terrier,2.7786152e-07,3.5268156e-05
184,Irish terrier,3.642528e-07,1.8534605e-05
185,Norfolk terrier,1.5684287e-07,2.6140924e-05
186,Norwich terrier,4.6683058e-07,4.6213536e-05
187,Yorkshire terrier,6.330531e-08,2.3767287e-05
188,wire-haired fox terrier,2.2578275e-08,2.596178e-06
189,Lakeland terrier,2.1888404e-07,2.5175636e-05
190,"Sealyham terrier, Sealyham",1.10852504e-07,7.738481e-06
191,"Airedale, Airedale terrier",8.8115485e-08,1.9728253e-05
192,"cairn, cairn terrier",4.8928726e-08,1.6060845e-05
193,Australian terrier,1.2919081e-08,2.4375072e-06
194,"Dandie Dinmont, Dandie Dinmont terrier",9.891073e-09,1.1260931e-06
195,"Boston bull, Boston terrier",2.4586643e-07,0.00015807494
196,miniature schnauzer,4.5424605e-07,7.569099e-05
197,giant schnauzer,1.6939879e-07,5.93868e-05
198,standard schnauzer,8.104197e-08,3.1865315e-05
199,"Scotch terrier, Scottish terrier, Scottie",5.761912e-07,0.00014757339
200,"Tibetan terrier, chrysanthemum dog",1.1030186e-08,1.8309821e-06
201,"silky terrier, Sydney silky",2.6777256e-08,8.6883865e-06
202,soft-coated wheaten terrier,3.1983813e-08,3.4069083e-06
203,West Highland white terrier,1.9579827e-06,4.8873735e-05
204,"Lhasa, Lhasa apso",1.929753e-08,9.320157e-06
205,flat-coated retriever,5.1724495e-08,5.8527792e-05
206,curly-coated retriever,2.6569229e-08,1.1000351e-05
207,golden retriever,1.8957674e-07,8.03192e-06
208,Labrador retriever,2.4632664e-07,0.00010170859
209,Chesapeake Bay retriever,1.9109002e-07,3.9327406e-05
210,German short-haired pointer,2.4015982e-08,2.7333508e-06
211,"vizsla, Hungarian pointer",6.194754e-09,1.20795e-06
212,English setter,1.751095e-08,1.2463016e-06
213,"Irish setter, red setter",4.9612392e-08,6.5050795e-06
214,Gordon setter,4.115507e-08,1.2658272e-05
215,Brittany spaniel,2.6961071e-09,6.5678296e-07
216,"clumber, clumber spaniel",3.1712407e-08,1.2948725e-06
