,imagenet_class,original_score,perturbated_score
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",2.5080295e-08,4.6051355e-07
181,Bedlington terrier,5.8099914e-07,6.99304e-06
182,Border terrier,1.2207951e-07,2.2241888e-06
183,Kerry blue terrier,2.8598924e-06,3.2125e-05
184,Irish terrier,7.621316e-07,1.09884995e-05
185,Norfolk terrier,1.0982202e-06,7.0471015e-06
186,Norwich terrier,6.779482e-07,6.20733e-06
187,Yorkshire terrier,1.3481075e-07,4.3476125e-06
188,wire-haired fox terrier,5.590405e-07,4.8356846e-06
189,Lakeland terrier,1.4234311e-06,1.0622898e-05
190,"Sealyham terrier, Sealyham",1.0476871e-06,5.2241608e-06
191,"Airedale, Airedale terrier",1.4588484e-06,2.0751748e-05
192,"cairn, cairn terrier",2.2203358e-07,5.961236e-06
193,Australian terrier,1.995968e-07,4.7682747e-06
194,"Dandie Dinmont, Dandie Dinmont terrier",2.6674334e-07,1.4716112e-06
195,"Boston bull, Boston terrier",3.6278266e-07,8.002061e-06
196,miniature schnauzer,1.7715597e-06,2.1827913e-05
197,giant schnauzer,9.040452e-07,1.1484437e-05
198,standard schnauzer,1.0260806e-06,7.2392013e-06
199,"Scotch terrier, Scottish terrier, Scottie",1.8459167e-06,4.6622066e-05
200,"Tibetan terrier, chrysanthemum dog",1.331327e-07,1.4042614e-06
201,"silky terrier, Sydney silky",1.6916274e-06,1.3368622e-05
202,soft-coated wheaten terrier,5.461246e-07,1.13576025e-05
203,West Highland white terrier,1.8291927e-05,0.00018271433
204,"Lhasa, Lhasa apso",2.1419329e-07,3.7034e-06
205,flat-coated retriever,3.7981425e-07,4.3707273e-06
206,curly-coated retriever,5.900388e-07,2.2367708e-06
207,golden retriever,1.820295e-07,2.3055254e-06
208,Labrador retriever,7.649489e-07,8.869062e-06
209,Chesapeake Bay retriever,1.854638e-07,2.303743e-06
210,German short-haired pointer,8.874082e-08,7.704631e-07
211,"vizsla, Hungarian pointer",1.5496961e-06,1.2805635e-05
212,English setter,2.785148e-07,4.4196254e-06
213,"Irish setter, red setter",1.16010824e-07,7.84232e-06
214,Gordon setter,1.316537e-07,3.1486243e-06
215,Brittany spaniel,1.227604e-07,1.8900599e-06
216,"clumber, clumber spaniel",1.1753806e-07,1.6886625e-06
217,"English springer, English springer spaniel",1.9931146e-07,4.6916375e-06
