,imagenet_class,original_score,perturbated_score
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",4.393127e-07,2.623742e-09
138,bustard,1.1313309e-07,5.5227276e-09
139,"ruddy turnstone, Arenaria interpres",7.4008355e-08,1.074908e-09
140,"red-backed sandpiper, dunlin, Erolia alpina",9.247133e-07,2.3555897e-08
141,"redshank, Tringa totanus",6.428038e-08,5.872533e-10
142,dowitcher,6.9125946e-08,8.527862e-10
143,"oystercatcher, oyster catcher",1.0541504e-07,1.570897e-09
144,pelican,1.02527835e-07,4.140697e-09
145,"king penguin, Aptenodytes patagonica",9.4528275e-07,2.8229632e-08
146,"albatross, mollymawk",8.0935706e-07,1.2607456e-08
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",1.391829e-07,3.009317e-09
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",1.2693885e-06,3.280898e-07
149,"dugong, Dugong dugon",2.4819784e-08,9.544602e-09
150,sea lion,7.9381164e-07,5.3786355e-08
151,Chihuahua,8.018587e-05,5.8449354e-05
152,Japanese spaniel,5.587574e-06,3.8637622e-06
153,"Maltese dog, Maltese terrier, Maltese",8.2359435e-07,2.3675703e-07
154,"Pekinese, Pekingese, Peke",3.1940344e-06,5.872783e-07
155,Shih-Tzu,8.638104e-07,2.8194452e-07
156,Blenheim spaniel,6.053479e-07,2.7141166e-07
157,papillon,1.3983709e-05,7.1521877e-06
158,toy terrier,8.229463e-06,7.5471917e-07
159,Rhodesian ridgeback,1.4116588e-07,1.3493308e-08
160,"Afghan hound, Afghan",4.680397e-08,2.2133657e-08
161,"basset, basset hound",3.0627086e-07,4.10078e-08
162,beagle,1.1444511e-06,1.5804964e-07
163,"bloodhound, sleuthhound",3.077242e-07,3.6962128e-08
164,bluetick,6.114605e-07,1.885117e-08
165,black-and-tan coonhound,2.4379997e-07,9.955169e-09
166,"Walker hound, Walker foxhound",1.4787427e-07,8.928643e-09
167,English foxhound,1.7443601e-07,3.133407e-08
168,redbone,7.829243e-07,3.320077e-08
169,"borzoi, Russian wolfhound",8.72678e-08,4.1728327e-08
170,Irish wolfhound,3.9519257e-08,7.465964e-10
171,Italian greyhound,1.1938962e-05,9.547625e-07
172,whippet,3.4104107e-06,3.8438031e-07
173,"Ibizan hound, Ibizan Podenco",5.6502745e-06,8.277206e-07
174,"Norwegian elkhound, elkhound",2.9082665e-05,1.916127e-07
175,"otterhound, otter hound",2.8314444e-08,4.34068e-09
176,"Saluki, gazelle hound",1.2207956e-07,5.1826113e-08
177,"Scottish deerhound, deerhound",3.8298996e-08,3.4250738e-09
178,Weimaraner,3.976822e-06,1.4815778e-07
179,"Staffordshire bullterrier, Staffordshire bull terrier",1.332869e-06,3.968908e-08
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",1.7817976e-06,1.14618544e-07
181,Bedlington terrier,4.0042548e-07,5.017223e-08
182,Border terrier,3.6440107e-07,8.131528e-09
183,Kerry blue terrier,5.9937076e-07,2.7558446e-08
184,Irish terrier,7.9456115e-08,4.7254165e-09
185,Norfolk terrier,8.1610256e-07,5.1002726e-08
186,Norwich terrier,3.6536308e-06,9.84797e-08
187,Yorkshire terrier,5.5519113e-06,3.348621e-07
188,wire-haired fox terrier,6.193158e-07,6.4294255e-08
189,Lakeland terrier,9.76115e-08,6.6952337e-09
190,"Sealyham terrier, Sealyham",2.4245423e-07,1.0436505e-07
191,"Airedale, Airedale terrier",1.4591028e-07,1.3713851e-08
192,"cairn, cairn terrier",3.4020343e-07,4.90622e-09
193,Australian terrier,3.3340086e-06,1.6206283e-07
194,"Dandie Dinmont, Dandie Dinmont terrier",2.4132538e-08,8.151576e-09
195,"Boston bull, Boston terrier",5.6201763e-05,5.432372e-06
196,miniature schnauzer,4.042677e-06,1.46771e-07
197,giant schnauzer,4.743121e-06,7.0114375e-08
198,standard schnauzer,1.5534135e-06,2.7528394e-08
199,"Scotch terrier, Scottish terrier, Scottie",2.379677e-06,2.8158874e-07
200,"Tibetan terrier, chrysanthemum dog",1.39697e-07,1.1791024e-08
201,"silky terrier, Sydney silky",9.180169e-07,4.5559727e-08
202,soft-coated wheaten terrier,1.6149517e-07,6.0919647e-09
203,West Highland white terrier,1.8306244e-05,1.9361592e-06
204,"Lhasa, Lhasa apso",1.185467e-06,1.4388444e-07
205,flat-coated retriever,2.3392992e-07,1.0287885e-08
206,curly-coated retriever,4.0176754e-08,6.4890324e-09
207,golden retriever,2.2734432e-07,3.6314965e-08
208,Labrador retriever,1.8305344e-06,3.966282e-08
209,Chesapeake Bay retriever,1.3650387e-07,5.3032903e-09
210,German short-haired pointer,2.3539194e-07,4.7690683e-09
211,"vizsla, Hungarian pointer",2.9259846e-07,4.6021526e-08
212,English setter,7.1089806e-07,3.1623166e-08
213,"Irish setter, red setter",6.160103e-08,1.4442836e-08
214,Gordon setter,1.11438624e-07,6.7187336e-09
215,Brittany spaniel,1.7447702e-06,4.885634e-07
216,"clumber, clumber spaniel",1.0643369e-07,4.002578e-08
217,"English springer, English springer spaniel",1.4393263e-06,1.8922815e-07
218,Welsh springer spaniel,2.0500688e-07,5.299602e-08
219,"cocker spaniel, English cocker spaniel, cocker",3.2518648e-07,6.888997e-08
220,Sussex spaniel,5.4129046e-08,3.5187533e-08
221,Irish water spaniel,1.1248324e-08,5.1817044e-09
222,kuvasz,9.572375e-07,1.269634e-07
223,schipperke,3.0071005e-06,5.881944e-08
224,groenendael,1.6551385e-06,2.4865894e-08
225,malinois,4.4005407e-07,2.200162e-08
226,briard,4.810702e-08,4.0276027e-09
227,kelpie,6.664269e-06,1.4830096e-07
228,komondor,3.3701667e-08,1.2941437e-08
229,"Old English sheepdog, bobtail",8.5521503e-07,8.8380666e-08
230,"Shetland sheepdog, Shetland sheep dog, Shetland",1.7008e-06,1.5089604e-07
231,collie,2.5889594e-06,1.2826744e-07
232,Border collie,5.944102e-06,4.25323e-07
233,"Bouvier des Flandres, Bouviers des Flandres",5.288198e-07,1.6580506e-08
234,Rottweiler,7.424719e-07,8.9475485e-09
235,"German shepherd, German shepherd dog, German police dog, alsatian",6.1796095e-06,1.8038082e-07
236,"Doberman, Doberman pinscher",1.6179046e-06,6.047621e-08
237,miniature pinscher,5.7354177e-06,1.679858e-07
238,Greater Swiss Mountain dog,6.703461e-07,1.0396998e-07
239,Bernese mountain dog,6.928002e-07,7.013758e-08
240,Appenzeller,1.776497e-06,6.0945126e-08
241,EntleBucher,1.9674411e-07,1.3723819e-08
242,boxer,2.4876801e-06,2.550572e-07
243,bull mastiff,5.4951073e-07,3.4125165e-08
244,Tibetan mastiff,8.256638e-08,6.104305e-09
245,French bulldog,3.4969227e-05,2.071781e-06
246,Great Dane,4.652552e-06,1.7889587e-07
247,"Saint Bernard, St Bernard",7.291216e-07,1.2153768e-07
248,"Eskimo dog, husky",0.0009465186,1.3052006e-05
249,"malamute, malemute, Alaskan malamute",4.964099e-05,1.767251e-06
250,Siberian husky,0.00023383349,7.516001e-06
251,"dalmatian, coach dog, carriage dog",4.937833e-05,1.0937057e-06
252,"affenpinscher, monkey pinscher, monkey dog",1.867681e-07,2.8522107e-08
253,basenji,4.706095e-05,2.4426263e-06
254,"pug, pug-dog",9.5561445e-06,3.034064e-06
255,Leonberg,4.756624e-08,4.226184e-09
256,"Newfoundland, Newfoundland dog",1.236124e-07,3.4437433e-09
257,Great Pyrenees,2.7568585e-06,2.9557395e-07
258,"Samoyed, Samoyede",8.680107e-06,3.5957234e-07
259,Pomeranian,1.5062218e-06,2.6380687e-07
260,"chow, chow chow",3.4864203e-07,5.4092474e-08
261,keeshond,6.718078e-07,1.5658962e-08
262,Brabancon griffon,1.8530511e-07,3.1597725e-08
263,"Pembroke, Pembroke Welsh corgi",5.6301683e-06,3.496537e-07
264,"Cardigan, Cardigan Welsh corgi",5.709392e-06,6.73158e-07
265,toy poodle,2.3913178e-06,1.2973951e-06
266,miniature poodle,7.876353e-08,3.928052e-08
267,standard poodle,1.050791e-07,3.4324458e-08
268,Mexican hairless,5.0845483e-07,6.877319e-08
269,"timber wolf, grey wolf, gray wolf, Canis lupus",1.0913522e-05,2.4478717e-07
270,"white wolf, Arctic wolf, Canis lupus tundrarum",7.2174025e-06,2.8411466e-07
271,"red wolf, maned wolf, Canis rufus, Canis niger",3.7533394e-07,1.7852765e-08
272,"coyote, prairie wolf, brush wolf, Canis latrans",7.4925465e-06,7.3493034e-08
273,"dingo, warrigal, warragal, Canis dingo",1.9823585e-06,6.3733836e-08
274,"dhole, Cuon alpinus",2.3743473e-06,9.850479e-08
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",4.1016494e-07,2.820771e-09
276,"hyena, hyaena",9.164992e-07,1.5303897e-08
277,"red fox, Vulpes vulpes",6.8490876e-06,1.531991e-07
278,"kit fox, Vulpes macrotis",2.3571834e-05,1.5141167e-07
279,"Arctic fox, white fox, Alopex lagopus",0.00010314605,1.0144386e-06
280,"grey fox, gray fox, Urocyon cinereoargenteus",6.7252354e-06,1.3425912e-07
281,"tabby, tabby cat",0.20815887,0.0016644998
282,tiger cat,0.081898935,0.0005694391
283,Persian cat,0.00065370946,6.722439e-05
284,"Siamese cat, Siamese",0.0027549532,0.00016477038
285,Egyptian cat,0.509779,0.0034427748
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",7.784098e-05,5.0651954e-07
287,"lynx, catamount",0.011287162,5.3680615e-05
288,"leopard, Panthera pardus",2.982739e-05,9.2250666e-08
289,"snow leopard, ounce, Panthera uncia",0.000103563274,1.4729036e-07
290,"jaguar, panther, Panthera onca, Felis onca",4.6480214e-05,1.4909865e-07
291,"lion, king of beasts, Panthera leo",3.2171718e-07,1.3494157e-08
292,"tiger, Panthera tigris",6.4027314e-05,9.587956e-07
293,"cheetah, chetah, Acinonyx jubatus",1.8631846e-06,4.349629e-08
294,"brown bear, bruin, Ursus arctos",4.6496016e-08,1.3626549e-09
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",1.7388308e-07,6.233042e-09
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",5.453057e-07,2.2394945e-08
297,"sloth bear, Melursus ursinus, Ursus ursinus",1.617394e-08,9.0687935e-10
298,mongoose,9.587907e-07,1.8346821e-08
299,"meerkat, mierkat",8.105888e-06,2.676795e-07
300,tiger beetle,9.8168975e-09,2.7591778e-09
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",9.995789e-07,8.390612e-09
302,"ground beetle, carabid beetle",1.0375357e-08,1.060225e-09
303,"long-horned beetle, longicorn, longicorn beetle",5.4579374e-07,1.4417595e-08
304,"leaf beetle, chrysomelid",7.9992155e-09,2.543521e-10
305,dung beetle,4.054865e-09,2.2615211e-10
306,rhinoceros beetle,4.6246802e-07,6.8180843e-09
307,weevil,7.393259e-08,1.8613564e-09
308,fly,4.4119622e-07,1.6909944e-08
309,bee,4.3897765e-07,3.993648e-08
310,"ant, emmet, pismire",4.0473392e-07,3.4967684e-08
311,"grasshopper, hopper",4.4723956e-06,2.1270509e-08
312,cricket,5.62302e-06,5.610573e-08
313,"walking stick, walkingstick, stick insect",1.3558421e-06,1.9620295e-08
314,"cockroach, roach",8.0675545e-07,1.26694575e-08
315,"mantis, mantid",1.2244702e-06,1.9460183e-08
316,"cicada, cicala",4.972215e-07,9.2863734e-09
317,leafhopper,3.065425e-08,5.5516103e-10
318,"lacewing, lacewing fly",2.1992017e-07,5.0970415e-09
319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",6.4099545e-08,1.6929597e-08
320,damselfly,1.7020412e-08,6.2404175e-09
