,kinetics_class,original_score,perturbated_score
344,swinging on something,2.0417283e-09,1.9502133e-06
345,sword fighting,7.0642696e-09,2.1650568e-07
346,tai chi,5.6259186e-10,3.139932e-09
347,taking a shower,1.4158907e-10,5.5101037e-08
348,tango dancing,3.3109804e-10,2.8742943e-07
349,tap dancing,4.0228354e-09,8.741583e-08
350,tapping guitar,6.343691e-11,2.9128326e-09
351,tapping pen,1.2608839e-10,8.572289e-09
352,tasting beer,6.163854e-10,6.6434596e-09
353,tasting food,4.1654835e-09,1.483924e-08
354,testifying,8.7603697e-10,3.3770714e-08
355,texting,1.11027445e-08,7.4683527e-07
356,throwing axe,2.23368e-08,7.4909076e-07
357,throwing ball,4.6527864e-05,6.2464524e-06
358,throwing discus,0.0010694053,1.2743223e-05
359,tickling,4.2403447e-10,4.301941e-09
360,tobogganing,1.3800376e-10,1.31578345e-05
361,tossing coin,1.7637852e-07,2.433105e-06
362,tossing salad,4.431116e-09,1.952989e-09
363,training dog,2.9311948e-07,2.8831578e-06
364,trapezing,3.4867702e-09,1.908658e-07
365,trimming or shaving beard,1.2655244e-10,1.0075855e-09
366,trimming trees,7.764944e-10,8.135421e-09
367,triple jump,0.0009429148,5.3983862e-05
368,tying bow tie,1.4858006e-10,4.0770063e-09
369,tying knot (not on a tie),2.0535191e-09,1.1645699e-08
370,tying tie,1.5768734e-10,5.75345e-09
371,unboxing,9.760562e-11,1.0559746e-09
372,unloading truck,1.2266405e-09,3.315172e-08
373,using computer,5.3432814e-10,3.6034948e-09
374,using remote controller (not gaming),2.1445517e-08,6.0763476e-08
375,using segway,3.170674e-09,4.334756e-05
376,vault,6.441572e-08,5.0915264e-07
377,waiting in line,6.8874106e-09,7.869015e-07
378,walking the dog,1.457235e-06,4.7636368e-05
379,washing dishes,9.62092e-11,8.802094e-09
380,washing feet,6.1143327e-11,2.564919e-09
381,washing hair,1.2194595e-10,1.8562994e-10
382,washing hands,9.552702e-10,1.0219414e-08
383,water skiing,3.875305e-08,0.00025741052
384,water sliding,2.0929722e-08,1.9899053e-06
385,watering plants,5.607452e-09,2.2149278e-08
386,waxing back,5.3774296e-10,1.4164935e-09
387,waxing chest,1.2326556e-10,6.3890986e-09
388,waxing eyebrows,8.183052e-11,7.495255e-10
389,waxing legs,6.946525e-10,2.1120844e-08
390,weaving basket,2.9844338e-10,4.0460506e-09
391,welding,2.97087e-11,3.992648e-09
392,whistling,7.764237e-09,4.1978205e-07
393,windsurfing,2.283864e-09,6.3121135e-08
394,wrapping present,1.0718177e-11,1.1165853e-09
395,wrestling,7.78001e-09,5.291407e-09
396,writing,7.447798e-11,1.0412193e-08
397,yawning,1.0790184e-09,3.9911118e-08
398,yoga,3.3448135e-09,8.521215e-09
399,zumba,1.5137147e-08,3.3989376e-09
