,imagenet_class,original_score,perturbated_score
159,Rhodesian ridgeback,1.0856727e-08,7.1256673e-10
160,"Afghan hound, Afghan",2.174571e-08,7.854592e-10
161,"basset, basset hound",1.34828655e-08,8.6328866e-10
162,beagle,5.880944e-09,8.0575163e-10
163,"bloodhound, sleuthhound",2.7925653e-09,1.4346818e-10
164,bluetick,7.3276833e-09,2.698257e-09
165,black-and-tan coonhound,1.2089092e-09,1.09711094e-10
166,"Walker hound, Walker foxhound",1.1561991e-09,1.3562222e-10
167,English foxhound,1.2786637e-09,1.7089505e-10
168,redbone,3.3582446e-09,7.25549e-10
169,"borzoi, Russian wolfhound",1.4336628e-07,9.559677e-09
170,Irish wolfhound,8.790235e-09,1.8416421e-09
171,Italian greyhound,4.416047e-09,2.6476013e-10
172,whippet,9.807563e-09,2.0372486e-09
173,"Ibizan hound, Ibizan Podenco",2.9219608e-08,1.2961006e-09
174,"Norwegian elkhound, elkhound",6.064721e-09,2.065151e-09
175,"otterhound, otter hound",6.7616606e-09,5.945298e-10
176,"Saluki, gazelle hound",4.3415106e-08,8.443158e-10
177,"Scottish deerhound, deerhound",1.509209e-08,1.1041545e-09
178,Weimaraner,1.0312209e-08,1.4471077e-09
179,"Staffordshire bullterrier, Staffordshire bull terrier",4.6075324e-10,9.283024e-11
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",1.6673633e-10,7.352825e-11
181,Bedlington terrier,8.6764446e-10,2.2326389e-11
182,Border terrier,6.5004304e-09,5.467661e-10
183,Kerry blue terrier,6.741623e-09,3.1879526e-09
184,Irish terrier,1.2856609e-08,8.9643426e-10
185,Norfolk terrier,1.8503384e-08,2.1616484e-09
186,Norwich terrier,3.8977275e-09,4.0673226e-10
187,Yorkshire terrier,2.010766e-08,2.3180828e-10
188,wire-haired fox terrier,3.3142868e-09,2.969044e-10
189,Lakeland terrier,2.515415e-09,3.9923376e-10
190,"Sealyham terrier, Sealyham",6.0948246e-09,9.0817137e-10
191,"Airedale, Airedale terrier",2.7438223e-09,2.1307536e-10
192,"cairn, cairn terrier",1.1750167e-08,1.296919e-09
193,Australian terrier,1.6060206e-08,1.8519196e-10
194,"Dandie Dinmont, Dandie Dinmont terrier",3.753867e-09,1.9548906e-10
195,"Boston bull, Boston terrier",3.042859e-08,1.266896e-08
196,miniature schnauzer,2.2449593e-09,3.0414593e-10
197,giant schnauzer,8.6783025e-09,2.940809e-09
198,standard schnauzer,8.629857e-09,5.399953e-10
199,"Scotch terrier, Scottish terrier, Scottie",3.4193242e-09,1.3552274e-09
200,"Tibetan terrier, chrysanthemum dog",7.997882e-08,5.271014e-09
201,"silky terrier, Sydney silky",2.00942e-08,2.6504965e-10
202,soft-coated wheaten terrier,2.7493662e-08,1.5834365e-09
203,West Highland white terrier,7.2602098e-09,9.789528e-10
204,"Lhasa, Lhasa apso",3.2035807e-08,4.224954e-09
205,flat-coated retriever,1.9013381e-08,7.5330595e-09
206,curly-coated retriever,2.860982e-09,2.0740012e-09
207,golden retriever,1.11256835e-08,2.2377316e-09
208,Labrador retriever,6.6745405e-09,4.176712e-09
209,Chesapeake Bay retriever,4.2085366e-09,4.079966e-09
210,German short-haired pointer,2.108341e-09,2.607623e-10
211,"vizsla, Hungarian pointer",1.12123875e-08,5.6394805e-10
212,English setter,2.8006477e-08,4.405164e-09
213,"Irish setter, red setter",1.1031314e-08,3.1076405e-10
214,Gordon setter,6.4243917e-09,1.0474982e-09
215,Brittany spaniel,5.9151537e-09,8.512495e-10
216,"clumber, clumber spaniel",1.7410493e-08,1.2065626e-09
217,"English springer, English springer spaniel",3.865618e-09,1.9668485e-09
218,Welsh springer spaniel,3.6582675e-09,4.9784477e-10
219,"cocker spaniel, English cocker spaniel, cocker",2.8716591e-09,1.2068228e-09
220,Sussex spaniel,7.735001e-09,1.5181358e-09
221,Irish water spaniel,2.4963591e-09,7.260765e-10
222,kuvasz,2.6730125e-09,4.6804327e-10
223,schipperke,1.7576355e-08,5.2612638e-08
224,groenendael,1.3936671e-08,7.128567e-09
225,malinois,4.401004e-09,9.572352e-10
226,briard,7.3012075e-08,1.1041614e-08
227,kelpie,4.0571333e-09,1.4136501e-09
228,komondor,3.6767138e-09,3.0040878e-10
229,"Old English sheepdog, bobtail",1.10409974e-08,1.7050183e-09
230,"Shetland sheepdog, Shetland sheep dog, Shetland",3.888767e-08,1.0760418e-08
231,collie,1.0528397e-07,3.168175e-08
232,Border collie,1.1563912e-07,2.6110401e-08
233,"Bouvier des Flandres, Bouviers des Flandres",2.1152529e-09,1.2091428e-09
234,Rottweiler,2.1151116e-09,8.0658813e-10
235,"German shepherd, German shepherd dog, German police dog, alsatian",4.404943e-09,1.5996434e-09
236,"Doberman, Doberman pinscher",6.5769927e-09,5.3198557e-10
237,miniature pinscher,1.2057866e-09,1.321275e-10
238,Greater Swiss Mountain dog,1.7982051e-08,1.6225147e-09
239,Bernese mountain dog,1.1889082e-08,4.9620024e-09
240,Appenzeller,1.3802498e-08,5.260629e-09
241,EntleBucher,7.570404e-09,1.6464662e-09
242,boxer,5.9611267e-09,9.422545e-10
243,bull mastiff,2.029611e-09,3.563539e-10
244,Tibetan mastiff,1.2823841e-08,4.0470574e-09
245,French bulldog,4.325449e-09,1.3660779e-09
246,Great Dane,7.3362276e-09,1.225984e-09
247,"Saint Bernard, St Bernard",7.1113977e-09,7.754903e-09
248,"Eskimo dog, husky",3.941545e-09,6.594004e-09
249,"malamute, malemute, Alaskan malamute",9.0504315e-09,1.2739181e-08
250,Siberian husky,4.2191055e-09,4.0990997e-09
251,"dalmatian, coach dog, carriage dog",1.2369985e-07,1.17001235e-08
252,"affenpinscher, monkey pinscher, monkey dog",5.656749e-09,2.6558405e-10
253,basenji,9.692057e-10,1.4118118e-10
254,"pug, pug-dog",4.4439243e-08,7.523526e-09
255,Leonberg,1.529319e-08,3.7495402e-09
256,"Newfoundland, Newfoundland dog",1.5480458e-08,1.0782962e-07
257,Great Pyrenees,2.4092813e-08,9.03257e-09
258,"Samoyed, Samoyede",4.922699e-09,3.1967267e-09
259,Pomeranian,3.0153466e-08,1.2837185e-08
260,"chow, chow chow",5.966356e-10,4.0855241e-10
261,keeshond,6.4282037e-09,4.3046366e-09
262,Brabancon griffon,6.9459074e-09,2.7334227e-10
263,"Pembroke, Pembroke Welsh corgi",5.2036633e-09,2.3725035e-09
