,imagenet_class,original_score,perturbated_score
149,"dugong, Dugong dugon",2.5259516e-07,6.814949e-06
150,sea lion,6.599357e-08,2.873882e-06
151,Chihuahua,2.8822194e-07,1.8661697e-07
152,Japanese spaniel,1.5947871e-06,1.11189555e-08
153,"Maltese dog, Maltese terrier, Maltese",7.0028177e-06,2.1726116e-06
154,"Pekinese, Pekingese, Peke",3.5939943e-06,1.1663584e-06
155,Shih-Tzu,5.513309e-07,2.1303194e-08
156,Blenheim spaniel,3.054039e-07,2.0826144e-08
157,papillon,5.3431114e-07,4.9554938e-08
158,toy terrier,2.46581e-07,1.3417829e-08
159,Rhodesian ridgeback,1.6539367e-06,1.9333422e-09
160,"Afghan hound, Afghan",1.41581e-06,2.5637787e-06
161,"basset, basset hound",4.5034444e-06,9.1492794e-08
162,beagle,1.5935572e-06,1.09263645e-07
163,"bloodhound, sleuthhound",5.6522435e-06,7.6273516e-08
164,bluetick,4.0047244e-06,4.5224454e-08
165,black-and-tan coonhound,1.385293e-07,1.1086783e-09
166,"Walker hound, Walker foxhound",2.188174e-06,1.9332548e-08
167,English foxhound,3.4253962e-06,5.1129803e-09
168,redbone,1.2983669e-06,9.580113e-09
169,"borzoi, Russian wolfhound",8.3288985e-05,2.4523592e-06
170,Irish wolfhound,9.9453886e-05,6.6888233e-06
171,Italian greyhound,4.5428877e-08,8.044634e-08
172,whippet,5.9351686e-07,2.6447063e-07
173,"Ibizan hound, Ibizan Podenco",9.012263e-06,1.04353816e-07
174,"Norwegian elkhound, elkhound",1.1728072e-05,9.937347e-07
175,"otterhound, otter hound",0.00011859775,8.4778674e-07
176,"Saluki, gazelle hound",2.3884983e-05,5.568834e-06
177,"Scottish deerhound, deerhound",5.7904945e-06,2.1778423e-07
178,Weimaraner,1.3653649e-05,2.3613015e-07
179,"Staffordshire bullterrier, Staffordshire bull terrier",5.9806603e-06,7.143878e-08
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",5.9248455e-06,2.4016693e-08
181,Bedlington terrier,2.1668897e-05,1.5560577e-06
